"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Settlement","","","2026-05-22T18:45:11.560Z","","","","","","KXBTC15M-26MAY221445-45","","","","","","","0","0.00","0","0.00","no","0.00","","",""
"Settlement","","","2026-05-22T18:45:11.547Z","","","","","","KXETH15M-26MAY221445-45","","","","","","","0","0.00","0","0.00","no","0.00","","",""
"Order","Canceled","","2026-05-22T18:37:21.570Z","","","","","","KXBTC15M-26MAY221445-45","18e36109-d57b-4cdf-9820-2eb8cc12b9f3","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-22T18:37:16.479Z","","","","","","KXETH15M-26MAY221445-45","f445e221-1502-499c-9787-6a9c6b6f90f3","0","0","","","","","","","","","","","",""
"Settlement","","","2026-05-22T18:15:11.556Z","","","","","","KXBTC15M-26MAY221415-15","","","","","","","0","0.00","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-22T18:15:11.542Z","","","","","","KXETH15M-26MAY221415-15","","","","","","","0","0.00","0","0.00","no","0.00","","",""
"Order","Canceled","","2026-05-22T18:08:07.408Z","","","","","","KXETH15M-26MAY221415-15","abc9d16e-4048-469a-bb31-42f9487ca9d6","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-22T18:07:06.446Z","","","","","","KXBTC15M-26MAY221415-15","f365a348-91a6-456a-a3d6-14c40f3f4296","0","0","","","","","","","","","","","",""
"Settlement","","","2026-05-22T18:00:11.555Z","","","","","","KXBTC15M-26MAY221400-00","","","","","","","0","0.00","0","0.00","no","0.00","","",""
"Order","Canceled","","2026-05-22T17:58:13.237Z","","","","","","KXBTC15M-26MAY221400-00","4d1dd384-e398-4c3a-8f7a-9cc63d85f3f6","0","0","","","","","","","","","","","",""
"Settlement","","","2026-05-22T17:45:11.560Z","","","","","","KXBTC15M-26MAY221345-45","","","","","","","10","0.34","0","0.00","no","10.00","","",""
"Settlement","","","2026-05-22T17:45:11.547Z","","","","","","KXETH15M-26MAY221345-45","","","","","","","6","0.46","0","0.00","yes","0.00","","",""
"Order","Filled","","2026-05-22T17:42:08.544Z","","","","","","KXETH15M-26MAY221345-45","59896ff7-b45d-4c07-95f2-3d598122ab53","6","0","","","","","","","","","","","",""
"Trade","","6","2026-05-22T17:42:08.544Z","1:42pm EDT","","","0.11","","KXETH15M-26MAY221345-45","59896ff7-b45d-4c07-95f2-3d598122ab53","","","No","Taker","54","","","","","","","","",""
"Trade","","10","2026-05-22T17:41:01.314Z","1:41pm EDT","","","0.00","","KXBTC15M-26MAY221345-45","6e445543-2fcd-4e96-8cd2-a3c11e5d0323","","","No","Maker","66","","","","","","","","",""
"Order","Filled","","2026-05-22T17:40:33.300Z","","","","","","KXBTC15M-26MAY221345-45","6e445543-2fcd-4e96-8cd2-a3c11e5d0323","10","0","","","","","","","","","","","",""
"Settlement","","","2026-05-22T17:30:11.542Z","","","","","","KXETH15M-26MAY221330-30","","","","","","","0","0.00","0","0.00","yes","0.00","","",""
"Order","Canceled","","2026-05-22T17:21:59.263Z","","","","","","KXETH15M-26MAY221330-30","14f0e4d7-ac68-4526-b0ec-17eee85ddc0a","0","0","","","","","","","","","","","",""
"Settlement","","","2026-05-22T17:00:01.558Z","","","","","","KXBTC15M-26MAY221300-00","","","","","","","0","0.00","0","0.00","yes","0.00","","",""
"Order","Canceled","","2026-05-22T16:59:01.148Z","","","","","","KXBTC15M-26MAY221300-00","dcd5ef17-9f50-4863-9234-ba840b0cd5d7","0","0","","","","","","","","","","","",""
